"Variables ->","GDP","CPI_U","S","RS","GDP_RW","CPI_RW","RS_RW","D4L_CPI_TAR","CPI","L_CPI","L_CPI_RW","L_CPI_U","L_GDP","L_GDP_RW","L_S","L_Z","DLA_CPI","DLA_CPI_RW","DLA_CPI_U","DLA_GDP","DLA_GDP_RW","DLA_S","DLA_Z","D4L_CPI","D4L_CPI_RW","D4L_CPI_U","D4L_GDP","D4L_GDP_RW","D4L_S","D4L_Z","RR","RR_RW","RR_BAR","RR_GAP","L_Z_BAR","L_Z_GAP","RR_RW_BAR","RR_RW_GAP","DLA_Z_BAR","L_GDP_GAP","L_GDP_BAR","DLA_GDP_BAR","L_GDP_RW_BAR_PURE","L_GDP_RW_GAP_PURE","L_GDP_RW_BAR","L_GDP_RW_GAP","E_DLA_CPI","MCI","OBS_D4L_CPI_TAR","OBS_DLA_CPI_RW","OBS_L_CPI","OBS_L_GDP","OBS_L_GDP_RW_GAP","OBS_L_S","OBS_RS","OBS_RS_RW","PREM","RMC","RSNEUTRAL","SHK_D4L_CPI_TAR","SHK_DLA_CPI","SHK_DLA_CPI_RW","SHK_DLA_GDP_BAR","SHK_DLA_Z_BAR","SHK_L_GDP_GAP","SHK_L_GDP_RW_GAP","SHK_L_S","SHK_RR_BAR","SHK_RR_RW_BAR","SHK_RS","SHK_RS_RW","a1","a2","a3","b1","b2","b3","b4","e1","g1","g2","g3","rho_D4L_CPI_TAR","rho_DLA_CPI_RW","rho_DLA_GDP_BAR","rho_DLA_Z_BAR","rho_L_GDP_RW_GAP","rho_RR_BAR","rho_RR_RW_BAR","rho_RS_RW","ss_D4L_CPI_TAR","ss_DLA_CPI_RW","ss_DLA_GDP_BAR","ss_DLA_Z_BAR","ss_RR_BAR","ss_RR_RW_BAR","std_SHK_D4L_CPI_TAR","std_SHK_DLA_CPI","std_SHK_DLA_CPI_RW","std_SHK_DLA_GDP_BAR","std_SHK_DLA_Z_BAR","std_SHK_L_GDP_GAP","std_SHK_L_GDP_RW_GAP","std_SHK_L_S","std_SHK_RR_BAR","std_SHK_RR_RW_BAR","std_SHK_RS","std_SHK_RS_RW","ttrend"
"2008Q4",8.99566000e+05,9.14100000e+01,2.69300000e+01,4.11000000e+00,2.13514300e+06,1.08010000e+02,4.21000000e+00,3.00000000e+00,9.20328819e+01,4.52214592e+02,6.58158137e+01,4.51535488e+02,1.37096677e+03,1.45740442e+03,3.29324091e+02,-5.70746873e+01,4.75384000e-01,-2.17903683e+00,-2.26901448e+00,-6.97860000e+00,-6.93100372e+00,3.50611920e+01,3.24067712e+01,4.62057300e+00,2.23760682e+00,4.58898778e+00,3.83600000e-02,-2.15913461e+00,1.15781000e+00,-1.22515733e+00,2.11767119e+00,6.38903683e+00,1.90748300e-01,1.92692289e+00,-5.68920947e+01,-1.82592649e-01,7.78815484e-01,5.61022135e+00,-3.51922506e+00,2.14159711e+00,1.36882517e+03,1.79055145e+00,1.45722197e+03,1.82447651e-01,1.45819802e+03,-7.93606737e-01,7.17071249e-01,1.40362382e+00,3.00000000e+00,-2.17903683e+00,4.52214592e+02,1.37096677e+03,-7.93606737e-01,3.29324091e+02,4.11000000e+00,4.21000000e+00,2.52731287e+00,1.44434019e+00,2.18307711e+00,5.00000000e-01,-2.86994461e+00,-4.91535329e+00,-3.91115801e-01,-4.08278838e-01,-5.07620353e-01,-1.68593383e+00,3.43251100e+00,1.70195552e-01,-5.40084298e-02,5.85379477e-01,5.06044269e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.50000000e+01
"2009Q1",8.69132000e+05,9.25800000e+01,2.73800000e+01,2.71000000e+00,2.07457110e+06,1.07740000e+02,2.01000000e+00,3.00000000e+00,9.22854650e+01,4.52488665e+02,6.55655239e+01,4.52807314e+02,1.36752503e+03,1.45452650e+03,3.30981282e+02,-5.59418591e+01,1.09629200e+00,-1.00115927e+00,5.08730157e+00,-1.37669600e+01,-1.15116759e+01,6.62876400e+00,4.53131273e+00,2.08713400e+00,9.88721794e-01,2.12878515e+00,-3.82021000e+00,-5.61966980e+00,7.74286500e+00,6.64445233e+00,1.10707422e+00,3.01115927e+00,4.25821472e-01,6.81252749e-01,-5.77742349e+01,1.83237577e+00,7.06222213e-01,2.30493706e+00,-3.52856094e+00,-1.69513316e+00,1.36922016e+03,1.57996108e+00,1.45725782e+03,-2.73131784e+00,1.45835784e+03,-3.83134268e+00,7.80971115e-01,-7.28358063e-02,3.00000000e+00,-1.00115927e+00,4.52488665e+02,1.36752503e+03,-3.83134268e+00,3.30981282e+02,2.71000000e+00,2.01000000e+00,2.84244801e+00,-6.36880478e-01,2.02874725e+00,5.00000000e-01,6.56607961e-01,3.42070194e-01,-3.52480081e-01,-4.13180892e-01,-1.51459025e+00,-3.19645729e+00,-7.24361673e-02,1.73222832e-01,-6.68301740e-02,-3.10837417e-01,-1.29901259e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.60000000e+01
"2009Q2",8.64176000e+05,9.26300000e+01,2.58900000e+01,2.32000000e+00,2.06877580e+06,1.07980000e+02,1.31000000e+00,3.00000000e+00,9.22751446e+01,4.52477482e+02,6.57880346e+01,4.52861306e+02,1.36695317e+03,1.45424676e+03,3.25385679e+02,-6.13037684e+01,-4.47320000e-02,8.90043015e-01,2.15971065e-01,-2.28744000e+00,-1.11896086e+00,-2.23824120e+01,-2.14476370e+01,1.39650000e+00,1.57560624e-01,1.42432416e+00,-5.62522000e+00,-5.49894976e+00,7.99783300e+00,6.75889472e+00,2.07663117e+00,4.19956985e-01,7.83469661e-01,1.29316151e+00,-5.86454483e+01,-2.65832007e+00,7.14222849e-01,-2.94265864e-01,-3.48485364e+00,-2.66324244e+00,1.36961641e+03,1.58499714e+00,1.45728168e+03,-3.03492088e+00,1.45850602e+03,-4.25925997e+00,-5.53468668e-01,1.70270907e+00,3.00000000e+00,8.90043015e-01,4.52477482e+02,1.36695317e+03,-4.25925997e+00,3.25385679e+02,2.32000000e+00,1.31000000e+00,3.15712972e+00,-2.66176573e+00,1.02683849e+00,5.00000000e-01,-1.13742654e-01,1.29097043e+00,-1.78971719e-01,-3.62004883e-01,1.33330679e+00,-1.19418583e+00,-4.84671388e+00,3.42812483e-01,-7.54921248e-04,8.68753894e-01,-6.18853173e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.70000000e+01
"2009Q3",8.67646000e+05,9.20900000e+01,2.51700000e+01,1.96000000e+00,2.07667220e+06,1.08180000e+02,8.70000000e-01,3.00000000e+00,9.21289583e+01,4.52318932e+02,6.59730828e+01,4.52276636e+02,1.36735391e+03,1.45462773e+03,3.22565281e+02,-6.37805682e+01,-6.34200000e-01,7.40192661e-01,-2.33868141e+00,1.60296000e+00,1.52387092e+00,-1.12815920e+01,-9.90719934e+00,2.23186000e-01,-3.87490106e-01,1.73894186e-01,-5.35751000e+00,-4.50944240e+00,2.00648800e+00,1.39581204e+00,2.14652121e+00,1.29807339e-01,1.04119264e+00,1.10532857e+00,-5.94848453e+01,-4.29572290e+00,6.87304045e-01,-5.57496706e-01,-3.35758799e+00,-2.66074949e+00,1.37001466e+03,1.59298820e+00,1.45729936e+03,-2.67163514e+00,1.45864497e+03,-4.01724263e+00,-1.16344483e+00,2.06244687e+00,3.00000000e+00,7.40192661e-01,4.52318932e+02,1.36735391e+03,-4.01724263e+00,3.22565281e+02,1.96000000e+00,8.70000000e-01,3.33995899e+00,-3.15124151e+00,8.54671432e-01,5.00000000e-01,3.76394153e-01,-3.71841751e-01,-1.75009517e-01,-2.69705080e-01,2.09719984e+00,-6.09834654e-01,-4.33548830e+00,3.14416912e-01,-3.40742341e-02,9.05042540e-01,-4.63499341e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.80000000e+01
"2009Q4",8.72924000e+05,9.18200000e+01,2.64700000e+01,1.77000000e+00,2.08633160e+06,1.08440000e+02,7.20000000e-01,3.00000000e+00,9.24504877e+01,4.52667323e+02,6.62131346e+01,4.51983014e+02,1.36796038e+03,1.45509179e+03,3.27601202e+02,-5.88529864e+01,1.39356400e+00,9.60207275e-01,-1.17448836e+00,2.42588000e+00,1.85623993e+00,2.01436840e+01,1.97103273e+01,4.52731000e-01,3.97320920e-01,4.47525716e-01,-3.00639000e+00,-2.31263149e+00,-1.72288900e+00,-1.77829898e+00,1.33784484e+00,-2.40207275e-01,1.14667200e+00,1.91172839e-01,-6.02762244e+01,1.42323797e+00,6.27402180e-01,-8.67609455e-01,-3.16551621e+00,-2.44362567e+00,1.37040401e+03,1.55738472e+00,1.45731477e+03,-2.22298233e+00,1.45877444e+03,-3.68265755e+00,1.01398866e+00,-2.93150403e-01,3.00000000e+00,9.60207275e-01,4.52667323e+02,1.36796038e+03,-3.68265755e+00,3.27601202e+02,1.77000000e+00,7.20000000e-01,3.35168279e+00,-1.28356658e+00,1.57882716e+00,5.00000000e-01,1.79002072e+00,-3.19468538e-02,-2.17005841e-01,-1.79445819e-01,1.43835758e+00,-4.68863446e-01,1.09948393e+00,2.13717884e-01,-7.24410558e-02,4.61710078e-01,-2.93521891e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.90000000e+01
"2010Q1",8.77280000e+05,9.31300000e+01,2.54500000e+01,1.50000000e+00,2.09467890e+06,1.09000000e+02,6.60000000e-01,2.00000000e+00,9.28044502e+01,4.53049459e+02,6.67282204e+01,4.53399637e+02,1.36845815e+03,1.45549108e+03,3.23671574e+02,-6.26496646e+01,1.52854400e+00,2.06034304e+00,5.66649108e+00,1.99108000e+00,1.59718539e+00,-1.57185120e+01,-1.51867130e+01,5.60794000e-01,1.16269650e+00,5.92323093e-01,9.33120000e-01,9.64583842e-01,-7.30970800e+00,-6.70780519e+00,6.79697816e-01,-1.40034304e+00,1.11316318e+00,-4.33465368e-01,-6.10162765e+01,-1.63338813e+00,6.15598121e-01,-2.01594116e+00,-2.96020855e+00,-2.32543785e+00,1.37078359e+03,1.51832871e+00,1.45733014e+03,-1.83905459e+00,1.45889168e+03,-3.40060101e+00,9.93300738e-01,1.86590683e-01,2.00000000e+00,2.06034304e+00,4.53049459e+02,1.36845815e+03,-3.40060101e+00,3.23671574e+02,1.50000000e+00,6.60000000e-01,3.16573190e+00,-2.11782293e+00,1.93346537e+00,-5.00000000e-01,6.78623565e-01,8.92177220e-01,-2.27579062e-01,-1.27795584e-01,1.38574040e+00,-4.54474970e-01,-2.92140114e+00,9.58255860e-02,-3.63236229e-02,1.96325202e-01,-4.51188232e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.00000000e+01
"2010Q2",8.86970000e+05,9.36800000e+01,2.57000000e+01,1.31000000e+00,2.11368490e+06,1.09680000e+02,6.90000000e-01,2.00000000e+00,9.33037302e+01,4.53586009e+02,6.73501357e+01,4.53988472e+02,1.36955664e+03,1.45639434e+03,3.24649099e+02,-6.15867743e+01,2.14620000e+00,2.48766121e+00,2.35534110e+00,4.39396000e+00,3.61302019e+00,3.91010000e+00,4.25156121e+00,1.10852700e+00,1.56210105e+00,1.12716560e+00,2.60347000e+00,2.14757910e+00,-7.36580000e-01,-2.83006301e-01,-4.06015823e-01,-1.79766121e+00,1.02822255e+00,-1.43423838e+00,-6.17004458e+01,1.13671419e-01,5.87146051e-01,-2.38480726e+00,-2.73667700e+00,-1.58954172e+00,1.37114618e+03,1.45037549e+00,1.45734631e+03,-9.51976462e-01,1.45899163e+03,-2.59728943e+00,1.79575529e+00,-1.03806829e+00,2.00000000e+00,2.48766121e+00,4.53586009e+02,1.36955664e+03,-2.59728943e+00,3.24649099e+02,1.31000000e+00,6.90000000e-01,2.93041811e+00,-1.07857778e+00,2.74423838e+00,3.55271368e-15,7.53208168e-01,4.39386778e-01,-2.64287484e-01,-6.85101618e-02,1.25803279e+00,1.23191378e-01,4.56404947e-02,3.76920074e-02,-5.53324460e-02,-2.66134768e-01,-4.52961452e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.10000000e+01
"2010Q3",8.92303000e+05,9.38100000e+01,2.46100000e+01,1.23000000e+00,2.12200610e+06,1.10050000e+02,8.70000000e-01,2.00000000e+00,9.39092184e+01,4.54232855e+02,6.76869129e+01,4.54127146e+02,1.37015610e+03,1.45678725e+03,3.20315286e+02,-6.62306561e+01,2.58738400e+00,1.34710909e+00,5.54696339e-01,2.39784000e+00,1.57163697e+00,-1.73352520e+01,-1.85755269e+01,1.91392300e+00,1.71383015e+00,1.85051004e+00,2.80219000e+00,2.15952062e+00,-2.24999500e+00,-2.45008812e+00,-8.15492872e-01,-4.77109090e-01,9.04744590e-01,-1.72023746e+00,-6.23314091e+01,-3.89924700e+00,5.85651761e-01,-1.06276085e+00,-2.52385323e+00,-1.32844678e+00,1.37148455e+03,1.35346026e+00,1.45736300e+03,-5.75749935e-01,1.45906709e+03,-2.27984067e+00,1.91984349e+00,-3.43921228e-02,2.00000000e+00,1.34710909e+00,4.54232855e+02,1.37015610e+03,-2.27984067e+00,3.20315286e+02,1.23000000e+00,8.70000000e-01,2.63817541e+00,-2.09968685e+00,2.95023746e+00,3.55271368e-15,9.29028323e-01,-1.04301988e+00,-3.06840129e-01,-3.45116245e-02,1.07278929e+00,-2.02009126e-01,-3.00434026e+00,-1.78334537e-02,-3.40650797e-02,-2.91468382e-01,-6.85521702e-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.20000000e+01
"2010Q4",8.97496000e+05,9.36600000e+01,2.50600000e+01,1.21000000e+00,2.13347230e+06,1.10600000e+02,1.02000000e+00,2.00000000e+00,9.42750253e+01,4.54621631e+02,6.81854411e+01,4.53967120e+02,1.37073639e+03,1.45732614e+03,3.22127295e+02,-6.43088949e+01,1.55510400e+00,1.99411245e+00,-6.40102553e-01,2.32116000e+00,2.15557015e+00,7.24803600e+00,7.68704445e+00,1.95430800e+00,1.97230645e+00,1.98410649e+00,2.77601000e+00,2.23435317e+00,-5.47390700e+00,-5.45590804e+00,-6.84887310e-01,-9.74112450e-01,7.87107580e-01,-1.47199489e+00,-6.29095166e+01,-1.39937831e+00,5.40219867e-01,-1.51433232e+00,-2.31243032e+00,-1.05777800e+00,1.37179417e+03,1.23848487e+00,1.45737929e+03,-5.31483947e-02,1.45910926e+03,-1.78311569e+00,1.29086124e+00,-6.10582930e-01,2.00000000e+00,1.99411245e+00,4.54621631e+02,1.37073639e+03,-1.78311569e+00,3.22127295e+02,1.21000000e+00,1.02000000e+00,2.39683197e+00,-1.16025809e+00,2.68199489e+00,3.57526508e-15,-4.11271553e-01,5.16425178e-01,-3.44283336e-01,6.65226511e-03,7.13362391e-01,4.07568460e-02,-3.05338907e-02,-3.66880920e-02,-7.83015424e-02,-1.86267966e-01,-1.82866463e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.30000000e+01
"2011Q1",9.03468000e+05,9.47600000e+01,2.45400000e+01,1.21000000e+00,2.15021620e+06,1.11730000e+02,1.09000000e+00,2.00000000e+00,9.44089049e+01,4.54763540e+02,6.92019568e+01,4.55134738e+02,1.37139960e+03,1.45810790e+03,3.20030444e+02,-6.55311392e+01,5.67636000e-01,4.06606299e+00,4.67047021e+00,2.65284000e+00,3.12702201e+00,-8.38740400e+00,-4.88897701e+00,1.71408100e+00,2.47373643e+00,1.73510128e+00,2.94145000e+00,2.61681233e+00,-3.64113000e+00,-2.88147461e+00,-1.12307730e-01,-2.97606299e+00,6.58935276e-01,-7.71243006e-01,-6.34421501e+01,-2.08898914e+00,4.91446616e-01,-3.46750961e+00,-2.13053369e+00,-6.72878802e-01,1.37207248e+03,1.11324320e+00,1.45739393e+03,7.13965184e-01,1.45910790e+03,-1.00000000e+00,5.79106918e-01,8.68266381e-02,2.00000000e+00,4.06606299e+00,4.54763540e+02,1.37139960e+03,-1.00000000e+00,3.20030444e+02,1.21000000e+00,1.09000000e+00,2.17191561e+00,-1.09771190e+00,1.98124301e+00,1.77635684e-15,-4.75126495e-01,2.07077303e+00,-3.77544694e-01,1.94105676e-02,6.99391590e-01,4.26492552e-01,-1.86634198e+00,-7.07507876e-02,-9.07292771e-02,1.17006333e-02,-6.37501921e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.40000000e+01
"2011Q2",9.05456000e+05,9.53400000e+01,2.43500000e+01,1.21000000e+00,2.15115740e+06,1.12650000e+02,1.41000000e+00,2.00000000e+00,9.49660373e+01,4.55351933e+02,7.00219988e+01,4.55744945e+02,1.37161940e+03,1.45815166e+03,3.19253185e+02,-6.60767492e+01,2.35357200e+00,3.28016813e+00,2.44082819e+00,8.79200000e-01,1.75051061e-01,-3.10903600e+00,-2.18243987e+00,1.76592400e+00,2.67186316e+00,1.75647305e+00,2.06276000e+00,1.75732005e+00,-5.39591400e+00,-4.48997491e+00,-4.35179282e-01,-1.87016813e+00,5.18271140e-01,-9.53450423e-01,-6.39321786e+01,-2.14457055e+00,4.36851486e-01,-2.30701962e+00,-1.96011423e+00,-7.02039726e-01,1.37232144e+03,9.95843696e-01,1.45740563e+03,7.46025670e-01,1.45905166e+03,-9.00000000e-01,2.10440513e+00,-2.40441305e-02,2.00000000e+00,3.28016813e+00,4.55351933e+02,1.37161940e+03,-9.00000000e-01,3.19253185e+02,1.21000000e+00,1.41000000e+00,1.94951104e+00,-1.13479897e+00,2.16345042e+00,5.32907052e-15,1.55186506e+00,-3.72682262e-01,-3.94750867e-01,4.43127231e-02,2.79050076e-01,-1.00000000e-01,-1.00587021e+00,-1.08877081e-01,-1.06305807e-01,-1.84582972e-01,-2.05403923e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.50000000e+01
"2011Q3",9.05804000e+05,9.54500000e+01,2.47600000e+01,1.18000000e+00,2.15210410e+06,1.13030000e+02,1.56000000e+00,2.00000000e+00,9.55813786e+01,4.55997802e+02,7.03587592e+01,4.55860255e+02,1.37165782e+03,1.45819566e+03,3.20922945e+02,-6.47160978e+01,2.58347600e+00,1.34704133e+00,4.61240158e-01,1.53680000e-01,1.75996744e-01,6.67904000e+00,5.44260533e+00,1.76494700e+00,2.67184622e+00,1.73310900e+00,1.50172000e+00,1.40840999e+00,6.07659000e-01,1.51455827e+00,-7.70897466e-01,2.12958670e-01,3.76144890e-01,-1.14704236e+00,-6.43832552e+01,-3.32842666e-01,3.76005668e-01,-1.63046998e-01,-1.80430621e+00,-8.94868746e-01,1.37255269e+03,9.24996080e-01,1.45741355e+03,7.82106564e-01,1.45949566e+03,-1.30000000e+00,2.29890587e+00,-7.03076850e-01,2.00000000e+00,1.34704133e+00,4.55997802e+02,1.37165782e+03,-1.30000000e+00,3.20922945e+02,1.18000000e+00,1.56000000e+00,1.74358419e+00,-7.26260922e-01,2.32704236e+00,5.32907052e-15,3.91556025e-01,-1.67709317e+00,-3.71678876e-01,6.37851690e-02,1.05839980e-01,-5.80000000e-01,3.76219862e-01,-1.38472022e-01,-1.23475521e-01,-2.31709140e-01,8.73906004e-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.60000000e+01
"2011Q4",9.04265000e+05,9.59100000e+01,2.58000000e+01,1.16000000e+00,2.14746150e+06,1.13820000e+02,1.50000000e+00,2.00000000e+00,9.65077267e+01,4.56962308e+02,7.10552575e+01,4.56341025e+02,1.37148777e+03,1.45797970e+03,3.25037449e+02,-6.08696015e+01,3.85802400e+00,2.78599319e+00,1.92308063e+00,-6.80200000e-01,-8.63827137e-01,1.64580160e+01,1.53859852e+01,2.34067700e+00,2.86981641e+00,2.37390480e+00,7.51380000e-01,6.53560669e-01,2.91015400e+00,3.43929429e+00,-1.95880303e+00,-1.28599319e+00,2.35436654e-01,-2.19423969e+00,-6.48037915e+01,3.93418992e+00,2.99156617e-01,-1.58514981e+00,-1.68214514e+00,-1.28349025e+00,1.37277126e+03,8.74286009e-01,1.45741731e+03,5.62393554e-01,1.45957970e+03,-1.60000000e+00,3.68014014e+00,-2.71622476e+00,2.00000000e+00,2.78599319e+00,4.56962308e+02,1.37148777e+03,-1.60000000e+00,3.25037449e+02,1.16000000e+00,1.50000000e+00,1.58199615e+00,2.81813801e-01,3.35423969e+00,1.39888101e-14,8.89185998e-01,1.30836013e+00,-3.65710855e-01,6.12998335e-02,-5.82462679e-01,-5.60000000e-01,2.75713715e+00,-1.65479258e-01,-1.51647917e-01,-6.59592313e-01,-3.65029961e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.70000000e+01
"2012Q1",9.00998000e+05,9.82500000e+01,2.47300000e+01,1.20000000e+00,2.14592170e+06,1.14770000e+02,1.04000000e+00,2.00000000e+00,9.78873578e+01,4.58381741e+02,7.18864447e+01,4.58751525e+02,1.37112583e+03,1.45790797e+03,3.20801708e+02,-6.56935883e+01,5.67773200e+00,3.32474901e+00,9.64199960e+00,-1.44776000e+00,-2.86915934e-01,-1.69429640e+01,-1.92959470e+01,3.61820100e+00,2.68448791e+00,3.61678715e+00,-2.73770000e-01,-1.99923817e-01,7.71264000e-01,-1.62448555e-01,-3.03990512e+00,-2.28474901e+00,1.43401957e-01,-3.18330707e+00,-6.52047781e+01,-4.88810168e-01,2.69705153e-01,-2.55445416e+00,-1.60394665e+00,-1.86546024e+00,1.37299129e+03,8.80119964e-01,1.45741701e+03,4.90959670e-01,1.45990797e+03,-2.00000000e+00,4.84038846e+00,-2.08167190e+00,2.00000000e+00,3.32474901e+00,4.58381741e+02,1.37112583e+03,-2.00000000e+00,3.20801708e+02,1.20000000e+00,1.04000000e+00,1.45685413e+00,-1.45246522e+00,4.38330707e+00,7.10542736e-15,1.81549170e+00,6.95954458e-01,-3.19308843e-01,4.17694544e-02,-4.63169611e-01,-7.20000000e-01,-1.21629481e+00,-1.44947366e-01,-1.19620141e-01,-9.03582416e-01,-8.78890833e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.80000000e+01
"2012Q2",8.97570000e+05,9.86000000e+01,2.56400000e+01,1.23000000e+00,2.14006650e+06,1.15380000e+02,7.00000000e-01,2.00000000e+00,9.82136272e+01,4.58714498e+02,7.24165350e+01,4.59107126e+02,1.37074464e+03,1.45763475e+03,3.24415363e+02,-6.18826000e+01,1.33102800e+00,2.12036125e+00,1.42240434e+00,-1.52476000e+00,-1.09290150e+00,1.44546200e+01,1.52439532e+01,3.36256500e+00,2.39453620e+00,3.36218118e+00,-8.74760000e-01,-5.16911956e-01,5.16217800e+00,4.19414949e+00,-1.78421845e+00,-1.42036125e+00,1.51688679e-01,-1.93590713e+00,-6.55907997e+01,3.70819976e+00,2.62461224e-01,-1.68282247e+00,-1.54408648e+00,-2.47651100e+00,1.37322115e+03,9.19443037e-01,1.45741313e+03,2.21618488e-01,1.45973475e+03,-2.10000000e+00,1.19008981e+00,-2.46759492e+00,2.00000000e+00,2.12036125e+00,4.58714498e+02,1.37074464e+03,-2.10000000e+00,3.24415363e+02,1.23000000e+00,7.00000000e-01,1.42449664e+00,-6.21097770e-01,3.16590713e+00,5.32907052e-15,-2.87619179e+00,-9.39437958e-01,-2.84652934e-01,3.90708442e-02,-6.74421283e-01,-5.00000000e-01,1.92549193e+00,-6.30328863e-02,-1.03302899e-01,-7.53153888e-02,-6.08564495e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.90000000e+01
